index,freq,nrg_bal,siec,unit,geo\TIME_PERIOD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
705304,A,TI_CO_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705344,A,TI_CO_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705384,A,TI_CO_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714040,A,TI_CPP_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714080,A,TI_CPP_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714120,A,TI_CPP_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722756,A,TI_E,E7000,GWH,FR,6552.633,7221.523,7065.429,6410.296,5567.957,6729.295,7758.156,7546.648,7404.374,8665.581,8818.168,8122.649,9620.406,9526.676,9440.947,8514.963,9445.865,10001.777,8616.901,8937.214,8739.679,7020.431,6767.681,7097.903,7981.642,6911.031,6751.705,7142.837,7462.754,6490.065,6307.03,6051.572,7706.055,6094.926,8083.449
722797,A,TI_E,E7000,KTOE,FR,563.425,620.939,607.518,551.186,478.758,578.615,667.081,648.895,636.662,745.106,758.226,698.422,827.206,819.147,811.775,732.155,812.198,859.998,740.92,768.462,751.477,603.648,581.916,610.31,686.298,594.242,580.542,614.173,641.681,558.045,542.307,520.342,662.602,524.069,695.052
722838,A,TI_E,E7000,TJ,FR,23589.477,25997.483,25435.545,23077.065,20044.644,24225.462,27929.363,27167.933,26655.748,31196.09,31745.405,29241.536,34633.462,34296.032,33987.41,30653.868,34005.116,36006.398,31020.845,32173.969,31462.846,25273.553,24363.652,25552.451,28733.913,24879.713,24306.138,25714.214,26865.914,23364.236,22705.309,21785.66,27741.8,21941.733,29100.418
731611,A,TI_EHG_APCHP_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731651,A,TI_EHG_APCHP_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731691,A,TI_EHG_APCHP_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740437,A,TI_EHG_APE_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740477,A,TI_EHG_APE_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740517,A,TI_EHG_APE_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749275,A,TI_EHG_APH_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749315,A,TI_EHG_APH_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749355,A,TI_EHG_APH_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757955,A,TI_EHG_CB,E7000,GWH,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.539,20.387,77.962,134.021,164.994
757994,A,TI_EHG_CB,E7000,KTOE,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,1.753,6.704,11.524,14.187
758033,A,TI_EHG_CB,E7000,TJ,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.34,73.393,280.663,482.476,593.979
766276,A,TI_EHG_DHEP,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766316,A,TI_EHG_DHEP,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766356,A,TI_EHG_DHEP,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774977,A,TI_EHG_E,E7000,GWH,FR,6552.633,7221.523,7065.429,6410.296,5567.957,6729.295,7758.156,7546.648,7404.374,8665.581,8818.168,8122.649,9620.406,9526.676,9440.947,8514.963,9445.865,10001.777,8616.901,8937.214,8739.679,7020.431,6767.681,7097.903,7981.642,6911.031,6751.705,7142.837,7462.754,6490.065,6307.03,6051.572,7706.055,6094.926,8083.449
775018,A,TI_EHG_E,E7000,KTOE,FR,563.425,620.939,607.518,551.186,478.758,578.615,667.081,648.895,636.662,745.106,758.226,698.422,827.206,819.147,811.775,732.155,812.198,859.998,740.92,768.462,751.477,603.648,581.916,610.31,686.298,594.242,580.542,614.173,641.681,558.045,542.307,520.342,662.602,524.069,695.052
775059,A,TI_EHG_E,E7000,TJ,FR,23589.477,25997.483,25435.545,23077.065,20044.644,24225.462,27929.363,27167.933,26655.748,31196.09,31745.405,29241.536,34633.462,34296.032,33987.41,30653.868,34005.116,36006.398,31020.845,32173.969,31462.846,25273.553,24363.652,25552.451,28733.913,24879.713,24306.138,25714.214,26865.914,23364.236,22705.309,21785.66,27741.8,21941.733,29100.418
783785,A,TI_EHG_EB,E7000,GWH,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,24.0,25.0,0.0,0.0,0.003,6.422,2.542,3.143,2.83,3.599,3.961,3.112,3.694,3.685,2.203,8.575
